,Date,Narration,Ref_no,Value_dt,Withdrawl,Deposit,Closing Balance,clean_narration,doc_topic,topic_desc
26,15/07/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-219607444713-SUBSCRIPTION DEBIT,0000219607444713,15/07/22,20.0,,8722.44, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
27,15/07/22,DC EMI LOAN# 82486255 15-07-2022,000000000000000,15/07/22,15077.11,,-6354.67,dc emi loan ,0,"[list([('aayushi super', 10.865290481053918), ('super shoppy', 10.865173862517079), ('aayushi super shoppy', 10.864427223847468), ('pos xxxxxx', 2.4550385779352015), ('ikea india', 1.609971068597172)])]"
29,16/07/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-219736248953-SUBSCRIPTION DEBIT,0000219736248953,16/07/22,20.0,,8702.44, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
30,17/07/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-219802602161-SUBSCRIPTION DEBIT,0000219802602161,17/07/22,20.0,,8682.44, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
31,18/07/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-219964630957-SUBSCRIPTION DEBIT,0000219964630957,18/07/22,20.0,,8662.44, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
32,19/07/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-220031045511-SUBSCRIPTION DEBIT,0000220031045511,19/07/22,20.0,,8642.44, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
33,19/07/22,UPI-NARESH PUROHIT-NP1784534@OKHDFCBANK-HDFC0003522-220047768275-UPI,0000220047768275,19/07/22,218.0,,8424.44, naresh purohit np,4,"[list([('naresh purohit', 11.170927092504018), ('purohit np', 11.167440746173527), ('naresh purohit np', 11.166542020373829), ('gagan pan', 0.13119500953407723), ('pan shop', 0.1307016139459496)])]"
34,19/07/22,UPI-GAGAN PAN SHOP-PAYTMQR28100505010114WJI6OVAW2B@PAYTM-PYTM0123456-220058192635-UPI,0000220058192635,19/07/22,18.0,,8406.44, gagan pan shop,8,"[list([('sumit mohan', 4.505268486902978), ('mohan gupta', 4.504494554311667), ('sumit mohan gupta', 4.502622451115006), ('jiofiber jiofiber', 2.613046376779851), ('olamoney razorpay', 1.7976716994787716)])]"
35,20/07/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-220119929886-SUBSCRIPTION DEBIT,0000220119929886,20/07/22,20.0,,8386.44, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
36,21/07/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-220228789165-SUBSCRIPTION DEBIT,0000220228789165,21/07/22,20.0,,8366.44, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
37,22/07/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-220355198286-SUBSCRIPTION DEBIT,0000220355198286,22/07/22,20.0,,8346.44, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
38,23/07/22,UPI-REVV-REVV.RZP@AXISBANK-UTIB0001506-220424292234-REVV,0000220424292234,23/07/22,8190.0,,156.44, revv revv rzp,0,"[list([('aayushi super', 10.865290481053918), ('super shoppy', 10.865173862517079), ('aayushi super shoppy', 10.864427223847468), ('pos xxxxxx', 2.4550385779352015), ('ikea india', 1.609971068597172)])]"
39,23/07/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-220460781512-SUBSCRIPTION DEBIT,0000220460781512,23/07/22,20.0,,136.44, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
40,24/07/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-220583098469-SUBSCRIPTION DEBIT,0000220583098469,24/07/22,30.0,,106.44, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
41,24/07/22,UPI-JAY MALHAR AUTOMOBIL-GPAY-11195675667@OKBIZAXIS-UTIB0000000-220549098814-UPI,0000220549098814,24/07/22,100.0,,6.44, jay malhar automobil,0,"[list([('aayushi super', 10.865290481053918), ('super shoppy', 10.865173862517079), ('aayushi super shoppy', 10.864427223847468), ('pos xxxxxx', 2.4550385779352015), ('ikea india', 1.609971068597172)])]"
43,26/07/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-220763427779-SUBSCRIPTION DEBIT,0000220763427779,26/07/22,20.0,,3311.44, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
44,27/07/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-220820865467-SUBSCRIPTION DEBIT,0000220820865467,27/07/22,40.0,,3271.44, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
45,28/07/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-220971391223-SUBSCRIPTION DEBIT,0000220971391223,28/07/22,20.0,,3251.44, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
47,29/07/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-221065494184-SUBSCRIPTION DEBIT,0000221065494184,29/07/22,20.0,,3232.44, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
49,30/07/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-221100309318-SUBSCRIPTION DEBIT,0000221100309318,30/07/22,20.0,,93670.44, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
50,30/07/22,UPI-CREDCLUB1-CRED.CLUB@AXISB-UTIB0000114-221109442460-PAYMENT ON CRED,0000221109442460,30/07/22,39330.0,,54340.44, credclub cred club,2,"[list([('gupta juice', 19.243605119465393), ('gupta juice center', 19.24314059509313), ('juice center', 19.241968449100682), ('krishna vegetables', 4.4101114348673125), ('cred club', 3.506991506858471)])]"
51,30/07/22,UPI-CREDCLUB1-CRED.CLUB@AXISB-UTIB0000114-221109903560-PAYMENT ON CRED,0000221109903560,30/07/22,1178.82,,53161.62, credclub cred club,2,"[list([('gupta juice', 19.243605119465393), ('gupta juice center', 19.24314059509313), ('juice center', 19.241968449100682), ('krishna vegetables', 4.4101114348673125), ('cred club', 3.506991506858471)])]"
52,30/07/22,UPI-SUMIT MOHAN GUPTA-SUMITMG@OKICICI-BARB0PANKIX-221175938624-EDUCATION LOAN,0000221175938624,30/07/22,25000.0,,28161.62, sumit mohan gupta,8,"[list([('sumit mohan', 4.505268486902978), ('mohan gupta', 4.504494554311667), ('sumit mohan gupta', 4.502622451115006), ('jiofiber jiofiber', 2.613046376779851), ('olamoney razorpay', 1.7976716994787716)])]"
53,31/07/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-221283614925-SUBSCRIPTION DEBIT,0000221283614925,31/07/22,20.0,,28141.62, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
54,31/07/22,NWD-512967XXXXXX4210-ATM07401-MUMBAI,0000221211675579,31/07/22,10000.0,,18141.62,nwd xxxxxx atm mumbai,0,"[list([('aayushi super', 10.865290481053918), ('super shoppy', 10.865173862517079), ('aayushi super shoppy', 10.864427223847468), ('pos xxxxxx', 2.4550385779352015), ('ikea india', 1.609971068597172)])]"
55,01/08/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-221332084665-SUBSCRIPTION DEBIT,0000221332084665,01/08/22,40.0,,18101.62, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
56,02/08/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-221477133107-SUBSCRIPTION DEBIT,0000221477133107,02/08/22,36.0,,18065.62, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
58,03/08/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-221542142099-SUBSCRIPTION DEBIT,0000221542142099,03/08/22,20.0,,19449.01, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
59,04/08/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-221652850888-SUBSCRIPTION DEBIT,0000221652850888,04/08/22,20.0,,19429.01, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
60,05/08/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-221718228460-SUBSCRIPTION DEBIT,0000221718228460,05/08/22,20.0,,19409.01, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
61,05/08/22,DC 1019060021591624 AUTOPAY SI-TAD,0000000444965200,05/08/22,1963.41,,17445.6,dc autopay si tad,9,"[list([('si tad', 2.035923755867459), ('autopay si tad', 2.0352256901407024), ('autopay si', 2.0348731549436505), ('dc autopay si', 2.032376855832404), ('dc autopay', 2.0312507869052774)])]"
62,05/08/22,UPI-KANPUR PANKI RETAILE-PAYTMQR281005050101BKPB4G4WQH08@PAYTM-PYTM0123456-221700971054-UPI,0000221700971054,05/08/22,89.0,,17356.6, kanpur panki retaile,0,"[list([('aayushi super', 10.865290481053918), ('super shoppy', 10.865173862517079), ('aayushi super shoppy', 10.864427223847468), ('pos xxxxxx', 2.4550385779352015), ('ikea india', 1.609971068597172)])]"
63,05/08/22,UPI-RAHULSWEETS AND NAMK-GPAY-11204277469@OKBIZAXIS-UTIB0000000-221701174990-UPI,0000221701174990,05/08/22,457.0,,16899.6, rahulsweets and namk,0,"[list([('aayushi super', 10.865290481053918), ('super shoppy', 10.865173862517079), ('aayushi super shoppy', 10.864427223847468), ('pos xxxxxx', 2.4550385779352015), ('ikea india', 1.609971068597172)])]"
64,06/08/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-221856700386-SUBSCRIPTION DEBIT,0000221856700386,06/08/22,22.0,,16877.6, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
65,06/08/22,UPI-PRADEEP  P-9198141821@YBL-SBIN0011330-221850215360-CASH,0000221850215360,06/08/22,5500.0,,11377.6, pradeep p ,0,"[list([('aayushi super', 10.865290481053918), ('super shoppy', 10.865173862517079), ('aayushi super shoppy', 10.864427223847468), ('pos xxxxxx', 2.4550385779352015), ('ikea india', 1.609971068597172)])]"
66,07/08/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-221902718775-SUBSCRIPTION DEBIT,0000221902718775,07/08/22,24.0,,11353.6, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
67,07/08/22,UPI-CCAVENUES-CCAVENUES@ICICI-ICIC0DC0099-221947997594-UPI,0000221947997594,07/08/22,2745.5,,8608.1, ccavenues ccavenues,3,"[list([('hungerbox paytm', 13.174251604078895), ('aeml awsp', 3.595276358492651), ('ccavenues ccavenues', 2.5585233143451727), ('premji paytmqr', 1.5287022749836985), ('patel premji paytmqr', 1.5276871161621721)])]"
68,07/08/22,UPI-R M HERITAGEA HOTELS-PAYTM-67861330@PAYTM-PYTM0123456-221958223974-UPI,0000221958223974,07/08/22,1985.0,,6623.1, r m heritagea,0,"[list([('aayushi super', 10.865290481053918), ('super shoppy', 10.865173862517079), ('aayushi super shoppy', 10.864427223847468), ('pos xxxxxx', 2.4550385779352015), ('ikea india', 1.609971068597172)])]"
69,07/08/22,UPI-TGC ENTERPRISES-Q770026994@YBL-YESB0YBLUPI-221958563436-UPI,0000221958563436,07/08/22,110.0,,6513.1, tgc enterprises q,0,"[list([('aayushi super', 10.865290481053918), ('super shoppy', 10.865173862517079), ('aayushi super shoppy', 10.864427223847468), ('pos xxxxxx', 2.4550385779352015), ('ikea india', 1.609971068597172)])]"
70,08/08/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-222021158541-SUBSCRIPTION DEBIT,0000222021158541,08/08/22,40.0,,6473.1, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
71,09/08/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-222163315785-SUBSCRIPTION DEBIT,0000222163315785,09/08/22,39.0,,6434.1, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
73,10/08/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-222214014343-SUBSCRIPTION DEBIT,0000222214014343,10/08/22,24.0,,9155.6, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
74,11/08/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-222311903753-SUBSCRIPTION DEBIT,0000222311903753,11/08/22,20.0,,9135.6, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
75,12/08/22,50400264425075- RD INSTALLMENT-AUG 2022,000000000000000,11/08/22,1400.0,,7735.6, rd installment aug,8,"[list([('sumit mohan', 4.505268486902978), ('mohan gupta', 4.504494554311667), ('sumit mohan gupta', 4.502622451115006), ('jiofiber jiofiber', 2.613046376779851), ('olamoney razorpay', 1.7976716994787716)])]"
76,12/08/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-222413711476-SUBSCRIPTION DEBIT,0000222413711476,12/08/22,20.0,,7715.6, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
77,12/08/22,UPI-ZIPCASHCARDSERVICESP-OLAMONEY1.RAZORPAY@ICICI-ICIC0DC0099-222455740169-UPI,0000222455740169,12/08/22,463.0,,7252.6, zipcashcardservicesp olamoney razorpay,8,"[list([('sumit mohan', 4.505268486902978), ('mohan gupta', 4.504494554311667), ('sumit mohan gupta', 4.502622451115006), ('jiofiber jiofiber', 2.613046376779851), ('olamoney razorpay', 1.7976716994787716)])]"
78,13/08/22,UPI-JAR  SAVE DAILY-JARMYJARONLINE@YBL-YESB0YBLUPI-222559489074-SUBSCRIPTION DEBIT,0000222559489074,13/08/22,29.0,,7223.6, jar save daily,1,"[list([('jar save daily', 98.03861898739333), ('jar save', 98.03682857485501), ('save daily', 98.03586853418446), ('delight paytm', 3.920523474443698), ('country delight', 3.9147386407433222)])]"
